team,result,margin,br,toss,bat,opposition,ground,date,url,scrapped_date
Pakistan,won,7 wicke,43,,,England,Nottingham,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,lost,7 wicke,43,,,Pakistan,Nottingham,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Pakistan,won,8 wicke,102,,,England,Birmingham,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,lost,8 wicke,102,,,Pakistan,Birmingham,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,won,3 wicke,23,,,Australia,Melbourne,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,lost,3 wicke,23,,,England,Melbourne,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,,,,,,New Zealand,Dunedin,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New Zealand,,,,won,2nd,England,Dunedin,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,,,,,,New Zealand,Wellington,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New Zealand,,,,won,1st,England,Wellington,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,won,202 run,,won,1st,India,Lord's,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
India,lost,202 run,,lost,2nd,England,Lord's,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New Zealand,won, 181 run,,won,1st,East Africa,Birmingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
East Africa,lost, 181 run,,lost,2nd,New Zealand,Birmingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,won,73 run,,won,1st,Pakistan,Leeds,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Pakistan,lost,73 run,,lost,2nd,Australia,Leeds,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
West Indies,won, 9 wicke,,,,Sri Lanka,Manchester,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Sri Lanka,lost, 9 wicke,,,,West Indies,Manchester,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,won,80 run,,lost,1st,New Zealand,Nottingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New Zealand,lost, 80 run,,,,England,Nottingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
India,won,10 wicke,181,lost,2nd,East Africa,Leeds,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
East Africa,lost, 10 wicke,,,,India,Leeds,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,won,52 run,,,,Sri Lanka,Oval,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Sri Lanka,lost, 52 run,,won,2nd,Australia,Oval,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
West Indies,won, 1 wicke,,,,Pakistan,Birmingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,lost,1 wicke,2,won,1st,West Indies,Birmingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,196 run,,lost,1st,East Africa,Birmingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
East Africa,lost, 196 run,,,,England,Birmingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
New Zealand,won, 4 wicke,,,,India,Manchester,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
