team,result,margin,br,toss,bat,opposition,ground,date,url,scrapped_date
India,lost,6 wickets,37,won,1st,England The,Oval,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Pakistan,won,7 wickets,43,43,lost,England,Nottingham,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,lost,7 wickets,43,43,won,Pakistan,Nottingham,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Pakistan,won,8 wickets,102,102,won,England,Birmingham,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,lost,8 wickets,102,102,lost,Pakistan,Birmingham,1974,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,won,3 wickets,23,23,won,Australia,Melbourne,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,lost,3 wickets,23,23,lost,England,Melbourne,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,n/r,#NAME?,,1st,v,Zealand,Dunedin,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New,Zealand,n/r -,,won,2nd,England,Dunedin,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,n/r,#NAME?,,2nd,v,Zealand,Wellington,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New,Zealand,n/r -,,won,1st,England,Wellington,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,won,202 runs,,won,1st,India,Lord's,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
India,lost,202 runs,,lost,2nd,England,Lord's,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New,Zealand,won 181,runs,won,1st,East Africa,Birmingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
East,Africa,lost 181,runs,lost,2nd,New Zealand,Birmingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,won,73 runs,,won,1st,Pakistan,Leeds,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Pakistan,lost,73 runs,,lost,2nd,Australia,Leeds,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
West,Indies,won 9,wickets,236,won,v Sri,Manchester,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 9,wickets,236,lost,v West,Manchester,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
England,won,80 runs,lost,lost,1st,Zealand,Nottingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 80,runs,runs,won,England,Nottingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
India,won,10 wickets,181,lost,2nd,East Africa,Leeds,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
East,Africa,lost 10,wickets,181,won,v India,Leeds,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Australia,won,52 runs,lost,1st,v,Lanka The,Oval,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 52,runs,won,2nd,Australia The,Oval,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=1;template=results;type=team;view=results,2021-02-12
West,Indies,won 1,wickets,2,lost,v Pakistan,Birmingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,lost,1 wickets,2,won,1st,West Indies,Birmingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,196 runs,lost,lost,1st,Africa,Birmingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
East,Africa,lost 196,runs,runs,won,England,Birmingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
New,Zealand,won 4,wickets,7,lost,v India,Manchester,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
India,lost,4 wickets,7,won,1st,New Zealand,Manchester,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West,Indies,won 7,wickets,84,won,v Australia,Oval,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,lost,7 wickets,84,lost,1st,West Indies,Oval,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,won,192 runs,lost,lost,1st,Lanka,Nottingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 192,runs,runs,won,Pakistan,Nottingham,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,won,4 wickets,188,188,won,England,Leeds,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,lost,4 wickets,188,188,lost,Australia,Leeds,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West,Indies,won 17,runs,runs,lost,Australia,Lord's,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,lost,17 runs,won,won,2nd,Indies,Lord's,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,won,5 wickets,67,won,2nd,West Indies,Adelaide,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West,Indies,lost 5,wickets,67,lost,v Australia,Adelaide,1975,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
New,Zealand,won 9,wickets,37,lost,v India,Christchurch,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
India,lost,9 wickets,37,won,1st,New Zealand,Christchurch,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
New,Zealand,won 80,runs,runs,won,India,Auckland,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
India,lost,80 runs,lost,lost,2nd,Zealand,Auckland,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West,Indies,won 6,wickets,84,won,v England,Scarborough,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,lost,6 wickets,84,lost,1st,West Indies,Scarborough,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West,Indies,won 36,runs,runs,lost,England,Lord's,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,lost,36 runs,won,won,2nd,Indies,Lord's,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West,Indies,won 50,runs,runs,lost,England,Birmingham,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,lost,50 runs,won,won,2nd,Indies,Birmingham,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
New,Zealand,won 1,runs,runs,won,Pakistan,Sialkot,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,lost,1 runs,lost,lost,2nd,Zealand,Sialkot,1976,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West,Indies,won 4,wickets,10,won,v Pakistan,Albion,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,lost,4 wickets,10,lost,1st,West Indies,Albion,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,2 wickets,58,58,lost,Australia,Manchester,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,lost,2 wickets,58,58,won,England,Manchester,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,101 runs,,lost,1st,Australia,Birmingham,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,lost,101 runs,,won,2nd,England,Birmingham,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,won,2 wickets,10,won,2nd,England The,Oval,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,lost,2 wickets,10,lost,1st,Australia The,Oval,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,3 wickets,0,0,lost,Pakistan,Sahiwal,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,lost,3 wickets,0,0,won,England,Sahiwal,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,6 wickets,17,17,won,Pakistan,Sialkot,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
