team,result,margin,br,toss,bat,opposition,ground,date,url,scrapped_date
Sri,Lanka,lost 9,wickets,55,won,v Australia,Perth,1989,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Sri,Lanka,won 3,wickets,9,lost,v Pakistan,Perth,1989,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Pakistan,lost,3 wickets,9,won,1st,Sri Lanka,Perth,1989,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Australia,won,7 wickets,54,54,lost,Pakistan,Melbourne,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Pakistan,lost,7 wickets,54,54,won,Australia,Melbourne,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Australia,won,73 runs,won,won,1st,Lanka,Melbourne,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 73,runs,runs,lost,Australia,Melbourne,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Pakistan,won,5 wickets,18,won,2nd,Sri Lanka,Brisbane,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 5,wickets,18,lost,v Pakistan,Brisbane,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Australia,won,67 runs,,lost,1st,Pakistan,Brisbane,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Pakistan,lost,67 runs,,won,2nd,Australia,Brisbane,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Pakistan,won,5 wickets,9,9,won,Australia,Sydney,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Australia,lost,5 wickets,9,9,lost,Pakistan,Sydney,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
England,n/r,#NAME?,2nd,v,West,Port of,Spain,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
West,Indies,n/r -,lost,1st,v,Port of,Spain,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Pakistan,won,6 wickets,9,won,2nd,Sri Lanka,Hobart,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 6,wickets,9,lost,v Pakistan,Hobart,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Pakistan,won,27 runs,lost,lost,1st,Lanka,Adelaide,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 27,runs,runs,won,Pakistan,Adelaide,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
England,n/r,#NAME?,2nd,v,West,Port of,Spain,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
West,Indies,n/r -,lost,1st,v,Port of,Spain,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Australia,won,7 wickets,60,lost,2nd,Sri Lanka,Adelaide,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 7,wickets,60,won,v Australia,Adelaide,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Pakistan,won,2 runs,,won,1st,Australia,Sydney,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Australia,lost,2 runs,,lost,2nd,Pakistan,Sydney,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Australia,won,7 wickets,25,25,won,Pakistan,Melbourne,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Pakistan,lost,7 wickets,25,25,lost,Australia,Melbourne,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Australia,won,69 runs,,won,1st,Pakistan,Sydney,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Pakistan,lost,69 runs,,lost,2nd,Australia,Sydney,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
New,Zealand,won 108,runs,runs,lost,India,Dunedin,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
India,lost,108 runs,won,won,2nd,Zealand,Dunedin,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Australia,won,18 runs,,won,1st,India,Christchurch,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
India,lost,18 runs,,lost,2nd,Australia,Christchurch,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
West,Indies,won 3,wickets,0,lost,v England,Kingston,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
England,lost,3 wickets,0,won,1st,West Indies,Kingston,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
Australia,won,150 runs,won,won,1st,Zealand,Christchurch,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 150,runs,runs,lost,Australia,Christchurch,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=25;template=results;type=team;view=results,2021-02-12
India,won,1 runs,won,won,1st,Zealand,Wellington,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 1,runs,runs,lost,India,Wellington,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
West,Indies,won 6,wickets,16,won,v England,Georgetown,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
England,lost,6 wickets,16,lost,1st,West Indies,Georgetown,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Australia,won,7 wickets,12,12,lost,India,Hamilton,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
India,lost,7 wickets,12,12,won,Australia,Hamilton,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Australia,won,10 runs,lost,lost,1st,Zealand,Auckland,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 10,runs,runs,won,Australia,Auckland,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Australia,won,8 wickets,65,lost,2nd,New Zealand,Auckland,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 8,wickets,65,won,v Australia,Auckland,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
England,aban,- -,,-,v,Indies,Georgetown,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
West,Indies,aban -,,-,-,England,Georgetown,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
West,Indies,won 7,wickets,52,won,v England,Georgetown,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
England,lost,7 wickets,52,lost,1st,West Indies,Georgetown,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
West,Indies,won 4,wickets,3,won,v England,Bridgetown,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
England,lost,4 wickets,3,lost,1st,West Indies,Bridgetown,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Sri,Lanka,won 3,wickets,4,won,v India,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
India,lost,3 wickets,4,lost,1st,Sri Lanka,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Australia,won,63 runs,lost,lost,1st,Zealand,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 63,runs,runs,won,Australia,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Pakistan,won,26 runs,,lost,1st,India,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
India,lost,26 runs,,won,2nd,Pakistan,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
New,Zealand,won 161,runs,runs,won,Bangladesh,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Bangladesh,lost,161 runs,lost,lost,2nd,Zealand,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Pakistan,won,90 runs,lost,lost,1st,Lanka,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 90,runs,runs,won,Pakistan,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Australia,won,7 wickets,146,146,lost,Bangladesh,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Bangladesh,lost,7 wickets,146,146,won,Australia,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Pakistan,won,8 wickets,206,lost,2nd,New Zealand,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 8,wickets,206,won,v Pakistan,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Australia,won,114 runs,won,won,1st,Lanka,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 114,runs,runs,lost,Australia,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Pakistan,won,36 runs,,won,1st,Australia,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Australia,lost,36 runs,,lost,2nd,Pakistan,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
New,Zealand,won 4,wickets,1,won,v England,Leeds,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
England,lost,4 wickets,1,lost,1st,New Zealand,Leeds,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
England,won,6 wickets,33,won,2nd,New Zealand,Oval,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 6,wickets,33,lost,v England,Oval,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
India,won,6 wickets,12,12,won,England,Leeds,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
England,lost,6 wickets,12,12,lost,India,Leeds,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
India,won,5 wickets,12,12,won,England,Nottingham,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
England,lost,5 wickets,12,12,lost,India,Nottingham,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Pakistan,won,19 runs,lost,lost,1st,Zealand,Lahore,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 19,runs,runs,won,Pakistan,Lahore,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Pakistan,won,8 wickets,65,lost,2nd,New Zealand,Peshawar,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 8,wickets,65,won,v Pakistan,Peshawar,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Pakistan,won,105 runs,lost,lost,1st,Zealand,Sialkot,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 105,runs,runs,won,Pakistan,Sialkot,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Pakistan,won,6 runs,won,won,1st,Indies,Karachi,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
West,Indies,lost 6,runs,runs,lost,Pakistan,Karachi,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=26;template=results;type=team;view=results,2021-02-12
Pakistan,won,5 wickets,11,lost,2nd,West Indies,Lahore,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
West,Indies,lost 5,wickets,11,won,v Pakistan,Lahore,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Pakistan,won,31 runs,won,won,1st,Indies,Multan,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
West,Indies,lost 31,runs,runs,lost,Pakistan,Multan,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Australia,won,61 runs,lost,lost,1st,Zealand,Sydney,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 61,runs,runs,won,Australia,Sydney,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
New,Zealand,won 7,runs,runs,lost,England,Adelaide,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
England,lost,7 runs,won,won,2nd,Zealand,Adelaide,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
India,won,19 runs,lost,lost,1st,Lanka,Nagpur,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 19,runs,runs,won,India,Nagpur,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Australia,won,6 wickets,18,lost,2nd,New Zealand,Adelaide,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 6,wickets,18,won,v Australia,Adelaide,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
India,won,6 wickets,21,won,2nd,Sri Lanka,Pune,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 6,wickets,21,lost,v India,Pune,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
England,won,4 wickets,37,lost,2nd,New Zealand,Perth,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 4,wickets,37,won,v England,Perth,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Sri,Lanka,won 7,wickets,103,lost,v India,Margao,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
India,lost,7 wickets,103,won,1st,Sri Lanka,Margao,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Australia,won,6 wickets,54,54,lost,England,Perth,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
England,lost,6 wickets,54,54,won,Australia,Perth,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Australia,won,39 runs,lost,lost,1st,Zealand,Melbourne,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 39,runs,runs,won,Australia,Melbourne,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
England,won,33 runs,lost,lost,1st,Zealand,Sydney,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 33,runs,runs,won,England,Sydney,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
New,Zealand,won 8,wickets,33,won,v England,Brisbane,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
England,lost,8 wickets,33,lost,1st,New Zealand,Brisbane,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Australia,won,37 runs,,won,1st,England,Brisbane,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
England,lost,37 runs,,lost,2nd,Australia,Brisbane,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
New,Zealand,won 1,runs,runs,lost,Australia,Hobart,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Australia,lost,1 runs,won,won,2nd,Zealand,Hobart,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Sri,Lanka,won 6,wickets,31,won,v Pakistan,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Pakistan,lost,6 wickets,31,lost,1st,Sri Lanka,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Pakistan,won,50 runs,lost,lost,1st,Lanka,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 50,runs,runs,won,Pakistan,Sharjah,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
India,won,9 wickets,79,79,lost,Bangladesh,Chandigarh,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Bangladesh,lost,9 wickets,79,79,won,India,Chandigarh,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
Sri,Lanka,won 36,runs,runs,won,India,Cuttack,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
India,lost,36 runs,lost,lost,2nd,Lanka,Cuttack,1990,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=27;template=results;type=team;view=results,2021-02-12
