team,result,margin,br,toss,bat,opposition,ground,date
New Zealand,0.0, 5 wicke,78.0,1.0,1.0,South Africa,Faisalabad,1996
Sri Lanka,1.0, 6 wicke,78.0,1.0,1.0,Zimbabwe,Colombo,1996
Zimbabwe,0.0,6 wicke,78.0,1.0,1.0,Sri Lanka,Colombo,1996
India,1.0,5 wicke,62.0,0.0,2.0,West Indies,Gwalior,1996
West Indies,0.0, 5 wicke,90.0,1.0,1.0,India,Gwalior,1996
England,1.0,49 run,90.0,1.0,1.0,Netherlands,Peshawar,1996
Netherlands,0.0,49 run,90.0,0.0,2.0,England,Peshawar,1996
Australia,1.0,97 run,90.0,0.0,1.0,Kenya,Visakhapatnam,1996
Kenya,0.0,97 run,90.0,1.0,2.0,Australia,Visakhapatnam,1996
Pakistan,1.0,9 wicke,90.0,0.0,2.0,U.A.E.,Gujranwala,1996
U.A.E.,0.0,9 wicke,90.0,0.0,2.0,Pakistan,Gujranwala,1996
South Africa,1.0, 78 run,116.0,0.0,2.0,England,Rawalpindi,1996
England,0.0,78 run,116.0,0.0,2.0,East Africa,Rawalpindi,1996
Pakistan,1.0,8 wicke,116.0,1.0,2.0,Netherlands,Lahore,1996
Netherlands,0.0,8 wicke,116.0,1.0,2.0,Pakistan,Lahore,1996
Zimbabwe,1.0,5 wicke,46.0,1.0,2.0,Kenya,Patna,1996
Kenya,0.0,5 wicke,46.0,1.0,2.0,Zimbabwe,Patna,1996
New Zealand,1.0, 109 run,34.0,1.0,2.0,U.A.E.,Faisalabad,1996
U.A.E.,0.0,109 run,34.0,1.0,2.0,New Zealand,Faisalabad,1996
Australia,1.0,16 run,34.0,1.0,1.0,India,Mumbai,1996
India,0.0,16 run,34.0,0.0,2.0,Australia,Mumbai,1996
Kenya,1.0,73 run,34.0,0.0,1.0,West Indies,Pune,1996
West Indies,0.0, 73 run,34.0,1.0,1.0,Kenya,Pune,1996
South Africa,1.0, 5 wicke,34.0,1.0,1.0,Pakistan,Karachi,1996
Pakistan,0.0,5 wicke,34.0,1.0,1.0,East Africa,Karachi,1996
Australia,1.0,8 wicke,84.0,0.0,1.0,Zimbabwe,Nagpur,1996
Zimbabwe,0.0,8 wicke,84.0,0.0,1.0,Australia,Nagpur,1996
U.A.E.,1.0,7 wicke,34.0,0.0,1.0,Netherlands,Lahore,1996
Netherlands,0.0,7 wicke,34.0,0.0,1.0,U.A.E.,Lahore,1996
Sri Lanka,1.0, 6 wicke,8.0,0.0,1.0,India,Delhi,1996
India,0.0,6 wicke,8.0,0.0,1.0,Sri Lanka,Delhi,1996
Pakistan,1.0,7 wicke,14.0,1.0,1.0,England,Karachi,1996
England,0.0,7 wicke,14.0,1.0,1.0,Pakistan,Karachi,1996
West Indies,1.0, 4 wicke,7.0,1.0,1.0,Australia,Jaipur,1996
Australia,0.0,4 wicke,7.0,1.0,1.0,West Indies,Jaipur,1996
South Africa,1.0, 160 run,56.0,0.0,2.0,Netherlands,Rawalpindi,1996
Netherlands,0.0,160 run,56.0,0.0,2.0,East Africa,Rawalpindi,1996
Sri Lanka,1.0, 144 run,56.0,1.0,2.0,Kenya,Kandy,1996
Kenya,0.0,144 run,56.0,1.0,2.0,Sri Lanka,Kandy,1996
India,1.0,40 run,56.0,0.0,1.0,Zimbabwe,Kanpur,1996
Zimbabwe,0.0,40 run,56.0,1.0,2.0,India,Kanpur,1996
Pakistan,1.0,46 run,56.0,0.0,1.0,New Zealand,Lahore,1996
New Zealand,0.0, 46 run,56.0,1.0,1.0,Pakistan,Lahore,1996
Sri Lanka,1.0, 5 wicke,56.0,1.0,1.0,England,Faisalabad,1996
England,0.0,5 wicke,56.0,1.0,1.0,Sri Lanka,Faisalabad,1996
India,1.0,39 run,13.0,1.0,1.0,Pakistan,Bengaluru,1996
Pakistan,0.0,39 run,13.0,0.0,2.0,India,Bengaluru,1996
West Indies,1.0, 19 run,13.0,1.0,1.0,East Africa,Karachi,1996
South Africa,0.0, 19 run,13.0,0.0,2.0,West Indies,Karachi,1996
Australia,1.0,6 wicke,13.0,0.0,2.0,New Zealand,Chennai,1996
New Zealand,0.0, 6 wicke,22.0,1.0,1.0,Australia,Chennai,1996
Australia,1.0,5 run,22.0,1.0,1.0,West Indies,Mohali,1996
West Indies,0.0, 5 run,22.0,0.0,1.0,Australia,Mohali,1996
Sri Lanka,1.0, 7 wicke,22.0,0.0,1.0,Australia,Lahore,1996
Australia,0.0,7 wicke,22.0,0.0,1.0,Sri Lanka,Lahore,1996
West Indies,1.0, 1 wicke,30.0,1.0,2.0,New Zealand,Kingston,1996
New Zealand,0.0, 1 wicke,30.0,1.0,2.0,West Indies,Kingston,1996
Pakistan,1.0, 34 run,30.0,1.0,2.0,Sri Lanka,Singapore,1996
Sri Lanka,1.0, 34 run,30.0,1.0,2.0,Pakistan,Singapore,1996
Sri Lanka,1.0, 34 run,30.0,1.0,2.0,Pakistan,Singapore,1996
Pakistan,0.0,34 run,30.0,1.0,2.0,Sri Lanka,Singapore,1996
India,1.0,12 run,30.0,1.0,1.0,Sri Lanka,Singapore,1996
Sri Lanka,0.0, 12 run,30.0,0.0,1.0,India,Singapore,1996
New Zealand,1.0, 4 run,30.0,0.0,1.0,West Indies,Georgetown,1996
West Indies,0.0, 4 run,30.0,1.0,2.0,New Zealand,Georgetown,1996
Pakistan,1.0,8 wicke,30.0,0.0,1.0,India,Singapore,1996
India,0.0,8 wicke,30.0,0.0,1.0,Pakistan,Singapore,1996
West Indies,1.0, 7 wicke,101.0,0.0,1.0,New Zealand,Kingstown,1996
New Zealand,0.0, 7 wicke,101.0,0.0,1.0,West Indies,Kingstown,1996
Pakistan,1.0,43 run,101.0,0.0,1.0,Sri Lanka,Singapore,1996
Sri Lanka,0.0, 43 run,101.0,0.0,1.0,Pakistan,Singapore,1996
Pakistan,1.0,38 run,101.0,0.0,1.0,India,Sharjah,1996
India,0.0,38 run,101.0,1.0,2.0,Pakistan,Sharjah,1996
South Africa,1.0, 143 run,101.0,0.0,2.0,Pakistan,Sharjah,1996
Pakistan,0.0,143 run,101.0,0.0,2.0,East Africa,Sharjah,1996
South Africa,1.0, 80 run,101.0,0.0,2.0,India,Sharjah,1996
India,0.0,80 run,101.0,0.0,2.0,East Africa,Sharjah,1996
India,1.0,28 run,101.0,1.0,1.0,Pakistan,Sharjah,1996
Pakistan,0.0,28 run,101.0,0.0,2.0,India,Sharjah,1996
South Africa,1.0, 8 wicke,101.0,1.0,1.0,Pakistan,Sharjah,1996
Pakistan,0.0,8 wicke,101.0,1.0,1.0,East Africa,Sharjah,1996
South Africa,1.0, 5 wicke,17.0,1.0,1.0,India,Sharjah,1996
India,0.0,5 wicke,17.0,1.0,1.0,East Africa,Sharjah,1996
South Africa,1.0, 38 run,15.0,0.0,2.0,India,Sharjah,1996
India,0.0,38 run,15.0,0.0,2.0,East Africa,Sharjah,1996
England,1.0,6 wicke,15.0,1.0,1.0,India,Leeds,1996
India,0.0,6 wicke,15.0,1.0,1.0,England,Leeds,1996
England,1.0,4 wicke,7.0,1.0,1.0,India,Manchester,1996
India,0.0,4 wicke,7.0,1.0,1.0,England,Manchester,1996
Sri Lanka,1.0, 9 wicke,34.0,1.0,1.0,India,Colombo,1996
India,0.0,9 wicke,34.0,1.0,1.0,Sri Lanka,Colombo,1996
England,1.0,5 wicke,20.0,1.0,1.0,Pakistan,Manchester,1996
Pakistan,0.0,5 wicke,20.0,1.0,1.0,England,Manchester,1996
Sri Lanka,1.0, 4 wicke,25.0,1.0,1.0,Australia,Colombo,1996
Australia,0.0,4 wicke,25.0,1.0,1.0,Sri Lanka,Colombo,1996
England,1.0,107 run,37.0,0.0,1.0,Pakistan,Birmingham,1996
Pakistan,0.0,107 run,37.0,1.0,2.0,England,Birmingham,1996
India,1.0,7 wicke,37.0,1.0,2.0,Zimbabwe,Colombo,1996
Zimbabwe,0.0,7 wicke,37.0,0.0,1.0,India,Colombo,1996
Pakistan,1.0,2 wicke,2.0,0.0,1.0,England,Nottingham,1996
England,0.0,2 wicke,2.0,0.0,1.0,Pakistan,Nottingham,1996
Sri Lanka,1.0, 6 wicke,18.0,0.0,1.0,Zimbabwe,Colombo,1996
Zimbabwe,0.0,6 wicke,18.0,0.0,1.0,Sri Lanka,Colombo,1996
Australia,1.0,3 wicke,3.0,1.0,2.0,India,Colombo,1996
India,0.0,3 wicke,3.0,0.0,1.0,Australia,Colombo,1996
Sri Lanka,1.0, 50 run,19.0,0.0,1.0,Australia,Colombo,1996
Australia,0.0,50 run,19.0,1.0,1.0,Sri Lanka,Colombo,1996
India,1.0,8 wicke,19.0,1.0,1.0,Pakistan,Toronto,1996
Pakistan,0.0,8 wicke,19.0,1.0,1.0,India,Toronto,1996
Pakistan,1.0,2 wicke,1.0,1.0,1.0,India,Toronto,1996
India,0.0,2 wicke,1.0,1.0,1.0,Pakistan,Toronto,1996
India,1.0,55 run,116.0,1.0,1.0,Pakistan,Toronto,1996
Pakistan,0.0,55 run,116.0,0.0,2.0,India,Toronto,1996
Pakistan,1.0,97 run,116.0,0.0,1.0,India,Toronto,1996
India,0.0,97 run,116.0,1.0,2.0,Pakistan,Toronto,1996
Pakistan,1.0,52 run,116.0,1.0,1.0,India,Toronto,1996
India,0.0,52 run,116.0,0.0,2.0,Pakistan,Toronto,1996
Sri Lanka,1.0, 7 wicke,116.0,0.0,1.0,Kenya,Nairobi,1996
Kenya,0.0,7 wicke,116.0,0.0,1.0,Sri Lanka,Nairobi,1996
South Africa,1.0, 62 run,58.0,0.0,1.0,Pakistan,Nairobi,1996
Pakistan,0.0,62 run,58.0,0.0,2.0,East Africa,Nairobi,1996
Pakistan,1.0,4 wicke,58.0,0.0,2.0,Kenya,Nairobi,1996
Kenya,0.0,4 wicke,58.0,1.0,1.0,Pakistan,Nairobi,1996
South Africa,1.0, 202 run,64.0,1.0,1.0,Kenya,Nairobi,1996
Kenya,0.0,202 run,64.0,1.0,2.0,East Africa,Nairobi,1996
Pakistan,1.0,82 run,64.0,1.0,2.0,Sri Lanka,Nairobi,1996
Sri Lanka,0.0, 82 run,64.0,1.0,2.0,Pakistan,Nairobi,1996
South Africa,1.0, 7 wicke,64.0,1.0,1.0,Pakistan,Nairobi,1996
Pakistan,0.0,7 wicke,64.0,1.0,1.0,East Africa,Nairobi,1996
South Africa,1.0, 47 run,23.0,1.0,1.0,India,Hydrabad,1996
India,0.0,47 run,23.0,1.0,1.0,East Africa,Hydrabad,1996
South Africa,1.0, 7 wicke,23.0,1.0,1.0,Australia,Indore,1996
Australia,0.0,7 wicke,23.0,1.0,1.0,East Africa,Indore,1996
India,1.0,2 wicke,7.0,1.0,2.0,Australia,Bengaluru,1996
Australia,0.0,2 wicke,7.0,1.0,2.0,India,Bengaluru,1996
South Africa,1.0, 27 run,16.0,1.0,2.0,India,Jaipur,1996
India,0.0,27 run,16.0,1.0,2.0,East Africa,Jaipur,1996
South Africa,1.0, 2 wicke,16.0,1.0,1.0,Australia,Faridabad,1996
Australia,0.0,2 wicke,16.0,1.0,1.0,East Africa,Faridabad,1996
South Africa,1.0, 5 wicke,8.0,1.0,1.0,India,Rajkot,1996
India,0.0,5 wicke,8.0,1.0,1.0,East Africa,Rajkot,1996
Pakistan,1.0,3 wicke,5.0,1.0,1.0,Zimbabwe,Quetta,1996
Zimbabwe,0.0,3 wicke,5.0,1.0,1.0,Pakistan,Quetta,1996
South Africa,1.0, 8 wicke,30.0,1.0,1.0,Australia,Guwahati,1996
Australia,0.0,8 wicke,30.0,1.0,1.0,East Africa,Guwahati,1996
Pakistan,1.0,9 wicke,128.0,1.0,1.0,Zimbabwe,Lahore,1996
Zimbabwe,0.0,9 wicke,128.0,1.0,1.0,Pakistan,Lahore,1996
Pakistan,1.0,78 run,21.0,1.0,1.0,Zimbabwe,Peshawar,1996
Zimbabwe,0.0,78 run,21.0,0.0,2.0,Pakistan,Peshawar,1996
India,1.0,5 run,21.0,0.0,1.0,Australia,Mohali,1996
Australia,0.0,5 run,21.0,1.0,2.0,India,Mohali,1996
India,1.0,35 run,21.0,1.0,1.0,East Africa,Mumbai,1996
South Africa,0.0, 35 run,21.0,0.0,1.0,India,Mumbai,1996
New Zealand,1.0, 29 run,21.0,0.0,1.0,Sri Lanka,Sharjah,1996
Sri Lanka,0.0, 29 run,21.0,1.0,2.0,New Zealand,Sharjah,1996
Sri Lanka,1.0, 75 run,21.0,1.0,2.0,Pakistan,Sharjah,1996
Pakistan,0.0,75 run,21.0,1.0,2.0,Sri Lanka,Sharjah,1996
Pakistan,1.0,4 wicke,21.0,0.0,2.0,New Zealand,Sharjah,1996
New Zealand,0.0, 4 wicke,20.0,1.0,1.0,Pakistan,Sharjah,1996
New Zealand,1.0,8 wicke,20.0,1.0,1.0,Sri Lanka,Sharjah,1996
Sri Lanka,1.0,8 wicke,20.0,0.0,2.0,New Zealand,Sharjah,1996
Pakistan,1.0,8 wicke,20.0,0.0,2.0,Sri Lanka,Sharjah,1996
Sri Lanka,0.0, 8 wicke,9.0,1.0,2.0,Pakistan,Sharjah,1996
Pakistan,1.0,4 wicke,9.0,1.0,2.0,New Zealand,Sharjah,1996
New Zealand,0.0, 4 wicke,8.0,0.0,1.0,Pakistan,Sharjah,1996
Pakistan,1.0,41 run,8.0,0.0,1.0,New Zealand,Sharjah,1996
New Zealand,0.0, 41 run,8.0,1.0,1.0,Pakistan,Sharjah,1996
Pakistan,1.0,11 run,8.0,1.0,1.0,New Zealand,Gujranwala,1996
New Zealand,0.0, 11 run,8.0,0.0,2.0,Pakistan,Gujranwala,1996
Australia,1.0,5 wicke,8.0,0.0,2.0,West Indies,Melbourne,1996
West Indies,0.0, 5 wicke,48.0,1.0,1.0,Australia,Melbourne,1996
Pakistan,1.0,46 run,48.0,1.0,1.0,New Zealand,Sialkot,1996
New Zealand,0.0, 46 run,48.0,0.0,2.0,Pakistan,Sialkot,1996
Australia,1.0,8 wicke,48.0,0.0,2.0,West Indies,Sydney,1996
West Indies,0.0, 8 wicke,29.0,1.0,1.0,Australia,Sydney,1996
New Zealand,1.0, 7 wicke,29.0,1.0,1.0,Pakistan,Karachi,1996
Pakistan,0.0,7 wicke,29.0,1.0,1.0,New Zealand,Karachi,1996
India,1.0,74 run,37.0,1.0,1.0,East Africa,Mumbai,1996
South Africa,0.0, 74 run,37.0,1.0,1.0,India,Mumbai,1996
Pakistan,1.0,12 run,37.0,1.0,1.0,Australia,Adelaide,1996
Australia,0.0,12 run,37.0,0.0,2.0,Pakistan,Adelaide,1996
Zimbabwe,1.0,2 wicke,37.0,0.0,1.0,England,Bulawayo,1996
England,0.0,2 wicke,37.0,0.0,1.0,Zimbabwe,Bulawayo,1996
West Indies,1.0, 7 wicke,83.0,0.0,1.0,Pakistan,Adelaide,1996
Pakistan,0.0,7 wicke,83.0,0.0,1.0,West Indies,Adelaide,1996
Pakistan,1.0,4 wicke,27.0,0.0,1.0,Australia,Sydney,1997
Australia,0.0,4 wicke,27.0,0.0,1.0,Pakistan,Sydney,1997
Zimbabwe,1.0,7 run,11.0,0.0,1.0,England,Harare,1997
England,0.0,7 run,11.0,1.0,2.0,Zimbabwe,Harare,1997
West Indies,1.0, 6 wicke,11.0,0.0,1.0,Pakistan,Brisbane,1997
Pakistan,0.0,6 wicke,11.0,0.0,1.0,West Indies,Brisbane,1997
Zimbabwe,1.0,131 run,7.0,0.0,1.0,England,Harare,1997
England,0.0,131 run,7.0,1.0,2.0,Zimbabwe,Harare,1997
West Indies,1.0, 7 wicke,7.0,1.0,1.0,Australia,Brisbane,1997
Australia,0.0,7 wicke,7.0,1.0,1.0,West Indies,Brisbane,1997
Pakistan,1.0,29 run,8.0,1.0,1.0,Australia,Hobart,1997
Australia,0.0,29 run,8.0,0.0,2.0,Pakistan,Hobart,1997
West Indies,1.0, 5 wicke,8.0,0.0,1.0,Pakistan,Perth,1997
Pakistan,0.0,5 wicke,8.0,0.0,1.0,West Indies,Perth,1997
West Indies,1.0, 4 wicke,4.0,1.0,1.0,Australia,Perth,1997
Australia,0.0,4 wicke,4.0,1.0,1.0,West Indies,Perth,1997
Pakistan,1.0,8 wicke,64.0,1.0,2.0,West Indies,Sydney,1997
West Indies,0.0, 8 wicke,3.0,1.0,2.0,Pakistan,Sydney,1997
Australia,1.0,3 wicke,3.0,1.0,2.0,Pakistan,Melbourne,1997
Pakistan,0.0,3 wicke,3.0,1.0,2.0,Australia,Melbourne,1997
Pakistan,1.0,4 wicke,70.0,1.0,2.0,West Indies,Sydney,1997
West Indies,0.0, 4 wicke,23.0,1.0,1.0,Pakistan,Sydney,1997
Pakistan,1.0,62 run,23.0,1.0,1.0,West Indies,Melbourne,1997
West Indies,0.0, 62 run,23.0,0.0,2.0,Pakistan,Melbourne,1997
South Africa,1.0, 39 run,23.0,0.0,2.0,India,Bloemfontein,1997
India,0.0,39 run,23.0,0.0,2.0,East Africa,Bloemfontein,1997
South Africa,1.0, 5 wicke,23.0,1.0,1.0,Zimbabwe,Centurion,1997
Zimbabwe,0.0,5 wicke,23.0,1.0,1.0,East Africa,Centurion,1997
South Africa,1.0, 5 wicke,18.0,1.0,1.0,Zimbabwe,Town,1997
Zimbabwe,0.0,5 wicke,18.0,1.0,1.0,East Africa,Town,1997
South Africa,1.0, 4 wicke,9.0,1.0,1.0,Zimbabwe,Johannesburg,1997
Zimbabwe,0.0,4 wicke,9.0,1.0,1.0,East Africa,Johannesburg,1997
South Africa,1.0, 6 wicke,29.0,1.0,1.0,India,Elizabeth,1997
India,0.0,6 wicke,29.0,1.0,1.0,East Africa,Elizabeth,1997
South Africa,1.0, 6 wicke,4.0,1.0,1.0,India,London,1997
India,0.0,6 wicke,4.0,1.0,1.0,East Africa,London,1997
Zimbabwe,1.0,3 wicke,2.0,0.0,2.0,India,Centurion,1997
India,0.0,3 wicke,2.0,0.0,2.0,Zimbabwe,Centurion,1997
India,1.0,6 wicke,64.0,0.0,2.0,Zimbabwe,Benoni,1997
Zimbabwe,0.0,6 wicke,64.0,0.0,2.0,India,Benoni,1997
India,1.0, 17 run,73.0,0.0,2.0,East Africa,Durban,1997
South Africa,1.0, 17 run,73.0,0.0,2.0,India,Durban,1997
South Africa,1.0, 17 run,73.0,0.0,2.0,India,Durban,1997
India,0.0,17 run,73.0,0.0,2.0,East Africa,Durban,1997
Zimbabwe,1.0,8 wicke,73.0,0.0,2.0,India,Bulawayo,1997
India,0.0,8 wicke,73.0,0.0,2.0,Zimbabwe,Bulawayo,1997
England,1.0,4 wicke,7.0,0.0,2.0,New Zealand,Christchurch,1997
New Zealand,0.0, 4 wicke,39.0,0.0,2.0,England,Christchurch,1997
England,1.0,6 wicke,39.0,0.0,2.0,New Zealand,Auckland,1997
New Zealand,0.0, 6 wicke,18.0,1.0,1.0,England,Auckland,1997
England,1.0, 9 run,18.0,1.0,1.0,New Zealand,Napier,1997
New Zealand,1.0, 9 run,18.0,1.0,1.0,England,Napier,1997
New Zealand,1.0, 9 run,18.0,1.0,2.0,England,Auckland,1997
England,0.0,9 run,18.0,1.0,2.0,New Zealand,Auckland,1997
New Zealand,1.0, 28 run,18.0,0.0,2.0,England,Wellington,1997
England,0.0,28 run,18.0,0.0,2.0,New Zealand,Wellington,1997
New Zealand,1.0, 6 wicke,18.0,0.0,1.0,Sri Lanka,Auckland,1997
Sri Lanka,1.0, 6 wicke,18.0,0.0,1.0,New Zealand,Auckland,1997
Sri Lanka,1.0, 6 wicke,18.0,0.0,1.0,New Zealand,Christchurch,1997
New Zealand,0.0, 6 wicke,18.0,0.0,1.0,Sri Lanka,Christchurch,1997
New Zealand,1.0, 69 run,18.0,0.0,1.0,Sri Lanka,Wellington,1997
Sri Lanka,0.0, 69 run,18.0,1.0,2.0,New Zealand,Wellington,1997
South Africa,1.0, 6 wicke,18.0,0.0,1.0,Australia,London,1997
Australia,0.0,6 wicke,18.0,0.0,1.0,East Africa,London,1997
Australia,1.0,7 wicke,30.0,1.0,2.0,East Africa,Elizabeth,1997
South Africa,0.0, 7 wicke,26.0,0.0,1.0,Australia,Elizabeth,1997
South Africa,1.0, 46 run,26.0,0.0,1.0,Australia,Town,1997
Australia,0.0,46 run,26.0,0.0,1.0,East Africa,Town,1997
Sri Lanka,1.0, 7 wicke,26.0,0.0,1.0,Zimbabwe,Sharjah,1997
Zimbabwe,0.0,7 wicke,26.0,0.0,1.0,Sri Lanka,Sharjah,1997
Sri Lanka,1.0, 19 run,6.0,1.0,2.0,Pakistan,Sharjah,1997
Pakistan,0.0,19 run,6.0,1.0,2.0,Sri Lanka,Sharjah,1997
Australia,1.0,15 run,6.0,1.0,1.0,East Africa,Durban,1997
South Africa,0.0, 15 run,6.0,1.0,1.0,Australia,Durban,1997
Pakistan,1.0,93 run,6.0,1.0,1.0,Zimbabwe,Sharjah,1997
Zimbabwe,0.0,93 run,6.0,0.0,2.0,Pakistan,Sharjah,1997
Sri Lanka,1.0, 51 run,6.0,0.0,2.0,Pakistan,Sharjah,1997
Pakistan,0.0,51 run,6.0,0.0,2.0,Sri Lanka,Sharjah,1997
Zimbabwe,1.0,50 run,6.0,1.0,1.0,Sri Lanka,Sharjah,1997
Sri Lanka,0.0, 50 run,6.0,1.0,1.0,Zimbabwe,Sharjah,1997
Australia,1.0,8 run,6.0,1.0,1.0,East Africa,Johannesburg,1997
South Africa,0.0, 8 run,6.0,1.0,1.0,Australia,Johannesburg,1997
Pakistan,1.0,32 run,6.0,1.0,1.0,Zimbabwe,Sharjah,1997
Zimbabwe,0.0,32 run,6.0,0.0,2.0,Pakistan,Sharjah,1997
Australia,1.0,5 wicke,6.0,0.0,2.0,East Africa,Centurion,1997
South Africa,0.0, 5 wicke,4.0,1.0,1.0,Australia,Centurion,1997
Sri Lanka,1.0, 4 wicke,4.0,1.0,1.0,Pakistan,Sharjah,1997
Pakistan,0.0,4 wicke,4.0,1.0,1.0,Sri Lanka,Sharjah,1997
South Africa,1.0, 109 run,32.0,1.0,2.0,Australia,Bloemfontein,1997
Australia,0.0,109 run,32.0,1.0,2.0,East Africa,Bloemfontein,1997
West Indies,1.0, 18 run,32.0,1.0,2.0,India,Kingstown,1997
India,0.0,18 run,32.0,1.0,2.0,West Indies,Kingstown,1997
West Indies,1.0, 10 wicke,32.0,0.0,1.0,India,Bridgetown,1997
India,0.0,10 wicke,32.0,0.0,1.0,West Indies,Bridgetown,1997
New Zealand,1.0, 22 run,45.0,1.0,2.0,Pakistan,Mohali,1997
Pakistan,0.0,22 run,45.0,1.0,2.0,New Zealand,Mohali,1997
Pakistan,1.0,30 run,45.0,1.0,1.0,Sri Lanka,Gwalior,1997
Sri Lanka,0.0, 30 run,45.0,0.0,2.0,Pakistan,Gwalior,1997
India,1.0,8 wicke,45.0,0.0,2.0,New Zealand,Bengaluru,1997
New Zealand,0.0, 8 wicke,55.0,1.0,1.0,India,Bengaluru,1997
Sri Lanka,1.0, 5 wicke,55.0,1.0,1.0,India,Mumbai,1997
India,0.0,5 wicke,55.0,1.0,1.0,Sri Lanka,Mumbai,1997
Sri Lanka,1.0, 52 run,59.0,1.0,1.0,New Zealand,Hydrabad,1997
New Zealand,0.0, 52 run,59.0,0.0,2.0,Sri Lanka,Hydrabad,1997
Pakistan,1.0,35 run,59.0,1.0,1.0,India,Chennai,1997
India,0.0,35 run,59.0,0.0,2.0,Pakistan,Chennai,1997
England,1.0,6 wicke,59.0,1.0,2.0,Australia,Leeds,1997
Australia,0.0,6 wicke,59.0,1.0,2.0,England,Leeds,1997
England,1.0,6 wicke,10.0,1.0,2.0,Australia,Oval,1997
Australia,0.0,6 wicke,10.0,0.0,1.0,England,Oval,1997
Sri Lanka,1.0, 115 run,6.0,0.0,2.0,Pakistan,Mohali,1997
Pakistan,0.0,115 run,6.0,0.0,2.0,Sri Lanka,Mohali,1997
England,1.0,6 wicke,6.0,0.0,2.0,Australia,Lord's,1997
Australia,0.0,6 wicke,6.0,0.0,2.0,England,Lord's,1997
Sri Lanka,1.0, 85 run,32.0,0.0,2.0,Pakistan,Kolkata,1997
Pakistan,0.0,85 run,32.0,0.0,2.0,Sri Lanka,Kolkata,1997
Sri Lanka,1.0, 15 run,32.0,0.0,1.0,Pakistan,Colombo,1997
Pakistan,0.0,15 run,32.0,0.0,1.0,Sri Lanka,Colombo,1997
Sri Lanka,1.0, 6 wicke,32.0,0.0,1.0,India,Colombo,1997
India,0.0,6 wicke,32.0,0.0,1.0,Sri Lanka,Colombo,1997
Sri Lanka,1.0, 103 run,168.0,0.0,1.0,Bangladesh,Colombo,1997
Bangladesh,0.0,103 run,168.0,1.0,2.0,Sri Lanka,Colombo,1997
India,1.0,9 wicke,168.0,1.0,2.0,Bangladesh,Colombo,1997
Bangladesh,0.0,9 wicke,168.0,0.0,1.0,India,Colombo,1997
Sri Lanka,1.0, 8 wicke,79.0,1.0,1.0,India,Colombo,1997
India,0.0,8 wicke,79.0,1.0,1.0,Sri Lanka,Colombo,1997
Sri Lanka,1.0, 2 run,49.0,0.0,1.0,India,Colombo,1997
India,0.0,2 run,49.0,0.0,1.0,Sri Lanka,Colombo,1997
Sri Lanka,1.0, 7 wicke,49.0,0.0,1.0,India,Colombo,1997
India,0.0,7 wicke,49.0,0.0,1.0,Sri Lanka,Colombo,1997
Sri Lanka,1.0, 9 run,92.0,0.0,1.0,India,Colombo,1997
India,0.0,9 run,92.0,0.0,1.0,Sri Lanka,Colombo,1997
India,1.0,20 run,92.0,0.0,1.0,Pakistan,Toronto,1997
Pakistan,0.0,20 run,92.0,1.0,2.0,India,Toronto,1997
India,1.0,7 wicke,92.0,0.0,1.0,Pakistan,Toronto,1997
Pakistan,0.0,7 wicke,92.0,0.0,1.0,India,Toronto,1997
India,1.0,34 run,3.0,0.0,1.0,Pakistan,Toronto,1997
Pakistan,0.0,34 run,3.0,1.0,2.0,India,Toronto,1997
India,1.0,7 wicke,3.0,0.0,2.0,Pakistan,Toronto,1997
Pakistan,0.0,7 wicke,3.0,0.0,2.0,India,Toronto,1997
Pakistan,1.0,5 wicke,37.0,0.0,2.0,India,Toronto,1997
India,0.0,5 wicke,37.0,0.0,2.0,Pakistan,Toronto,1997
Pakistan,1.0,5 wicke,33.0,0.0,2.0,India,Hydrabad,1997
India,0.0,5 wicke,33.0,1.0,1.0,Pakistan,Hydrabad,1997
India,1.0,4 wicke,3.0,0.0,2.0,Pakistan,Karachi,1997
Pakistan,0.0,4 wicke,3.0,0.0,2.0,India,Karachi,1997
New Zealand,1.0,9 wicke,136.0,0.0,2.0,Zimbabwe,Bulawayo,1997
Zimbabwe,1.0,9 wicke,136.0,0.0,2.0,New Zealand,Bulawayo,1997
Pakistan,1.0,9 wicke,136.0,0.0,2.0,India,Lahore,1997
India,0.0,9 wicke,136.0,0.0,2.0,Pakistan,Lahore,1997
Zimbabwe,1.0,3 wicke,10.0,0.0,2.0,New Zealand,Harare,1997
New Zealand,0.0, 3 wicke,3.0,0.0,2.0,Zimbabwe,Harare,1997
New Zealand,1.0, 83 run,3.0,0.0,2.0,Zimbabwe,Harare,1997
Zimbabwe,0.0,83 run,3.0,0.0,2.0,New Zealand,Harare,1997
Kenya,1.0,150 run,3.0,0.0,1.0,Nairobi,Nairobi,1997
Bangladesh,0.0,150 run,3.0,1.0,2.0,Nairobi,Nairobi,1997
Zimbabwe,1.0,48 run,3.0,1.0,1.0,Nairobi,Nairobi,1997
Bangladesh,0.0,48 run,3.0,0.0,2.0,Nairobi,Nairobi,1997
Zimbabwe,1.0,6 wicke,3.0,0.0,2.0,Kenya,Nairobi,1997
Kenya,0.0,6 wicke,3.0,1.0,1.0,Zimbabwe,Nairobi,1997
Zimbabwe,1.0,192 run,174.0,1.0,1.0,Nairobi,Nairobi,1997
Bangladesh,0.0,192 run,174.0,0.0,2.0,Nairobi,Nairobi,1997
