team,result,margin,br,toss,bat,opposition,ground,date
Australia,0.0,101 run,10.0,1.0,2.0,England,Birmingham,1977
Australia,1.0,2 wicke,10.0,1.0,2.0,England,Oval,1977
England,0.0,2 wicke,10.0,0.0,1.0,Australia,Oval,1977
England,1.0,3 wicke,0.0,0.0,1.0,Pakistan,Sahiwal,1977
Pakistan,0.0,3 wicke,0.0,0.0,1.0,England,Sahiwal,1977
England,1.0,6 wicke,17.0,0.0,1.0,Pakistan,Sialkot,1977
Pakistan,0.0,6 wicke,17.0,0.0,1.0,England,Sialkot,1977
Pakistan,1.0,36 run,0.0,0.0,1.0,England,Lahore,1978
England,0.0,36 run,0.0,1.0,2.0,Pakistan,Lahore,1978
West Indies,1.0, 44 run,0.0,0.0,1.0,Australia,John's,1978
Australia,0.0,44 run,0.0,0.0,2.0,West Indies,John's,1978
Australia,1.0,2 wicke,0.0,0.0,2.0,West Indies,Castries,1978
West Indies,0.0, 2 wicke,139.0,1.0,1.0,Australia,Castries,1978
England,1.0,132 run,139.0,1.0,1.0,Pakistan,Manchester,1978
Pakistan,0.0,132 run,139.0,0.0,2.0,England,Manchester,1978
England,1.0,19 run,139.0,0.0,1.0,New Zealand,Scarborough,1978
New Zealand,0.0, 19 run,139.0,1.0,1.0,England,Scarborough,1978
England,1.0,126 run,139.0,1.0,1.0,New Zealand,Manchester,1978
New Zealand,0.0, 126 run,139.0,1.0,1.0,England,Manchester,1978
India,1.0,4 run,139.0,1.0,1.0,Pakistan,Quetta,1978
Pakistan,0.0,4 run,139.0,0.0,2.0,India,Quetta,1978
Pakistan,1.0,8 wicke,139.0,1.0,1.0,India,Sialkot,1978
India,0.0,8 wicke,139.0,1.0,1.0,Pakistan,Sialkot,1978
Pakistan,1.0,7 wicke,94.0,1.0,1.0,India,Sahiwal,1978
India,0.0,7 wicke,94.0,0.0,2.0,Pakistan,Sahiwal,1978
England,1.0,7 wicke,94.0,0.0,1.0,Australia,Melbourne,1979
Australia,0.0,7 wicke,94.0,0.0,1.0,England,Melbourne,1979
Australia,1.0,4 wicke,10.0,0.0,1.0,England,Melbourne,1979
England,0.0,4 wicke,10.0,0.0,1.0,Australia,Melbourne,1979
Australia,1.0,6 wicke,147.0,0.0,1.0,England,Melbourne,1979
England,0.0,6 wicke,147.0,0.0,1.0,Australia,Melbourne,1979
West Indies,1.0, 9 wicke,51.0,0.0,1.0,India,Birmingham,1979
India,0.0,9 wicke,51.0,0.0,1.0,West Indies,Birmingham,1979
New Zealand,1.0, 9 wicke,77.0,0.0,1.0,Sri Lanka,Nottingham,1979
Sri Lanka,0.0, 9 wicke,77.0,0.0,1.0,New Zealand,Nottingham,1979
England,1.0,6 wicke,77.0,0.0,1.0,Australia,Lord's,1979
Australia,0.0,6 wicke,77.0,0.0,1.0,England,Lord's,1979
Pakistan,1.0,8 wicke,119.0,0.0,1.0,Canada,Leeds,1979
Canada,0.0,8 wicke,119.0,0.0,1.0,Pakistan,Leeds,1979
Sri Lanka,1.0, 8 wicke,18.0,0.0,1.0,West Indies,Oval,1979
West Indies,1.0, 8 wicke,18.0,0.0,1.0,Sri Lanka,Oval,1979
New Zealand,1.0, 8 wicke,18.0,0.0,1.0,India,Leeds,1979
India,0.0,8 wicke,18.0,0.0,1.0,New Zealand,Leeds,1979
Pakistan,1.0,89 run,277.0,0.0,1.0,Australia,Nottingham,1979
Australia,0.0,89 run,277.0,1.0,2.0,Pakistan,Nottingham,1979
England,1.0,8 wicke,277.0,1.0,2.0,Canada,Manchester,1979
Canada,0.0,8 wicke,277.0,1.0,2.0,England,Manchester,1979
Sri Lanka,1.0, 47 run,204.0,1.0,2.0,India,Manchester,1979
India,0.0,47 run,204.0,1.0,2.0,Sri Lanka,Manchester,1979
West Indies,1.0, 32 run,204.0,0.0,1.0,New Zealand,Nottingham,1979
New Zealand,0.0, 32 run,204.0,1.0,2.0,West Indies,Nottingham,1979
Australia,1.0,7 wicke,204.0,0.0,1.0,Canada,Birmingham,1979
Canada,0.0,7 wicke,204.0,0.0,1.0,Australia,Birmingham,1979
England,1.0,14 run,17.0,0.0,1.0,Pakistan,Leeds,1979
Pakistan,0.0,14 run,17.0,1.0,2.0,England,Leeds,1979
England,1.0,9 run,17.0,0.0,1.0,New Zealand,Manchester,1979
New Zealand,0.0, 9 run,17.0,0.0,1.0,England,Manchester,1979
West Indies,1.0, 43 run,17.0,0.0,1.0,Pakistan,Oval,1979
Pakistan,0.0,43 run,17.0,1.0,2.0,West Indies,Oval,1979
West Indies,1.0, 92 run,17.0,1.0,2.0,England,Lord's,1979
England,0.0,92 run,17.0,1.0,2.0,West Indies,Lord's,1979
Australia,1.0,5 wicke,17.0,1.0,2.0,West Indies,Sydney,1979
West Indies,0.0, 5 wicke,6.0,0.0,1.0,Australia,Sydney,1979
England,1.0,2 run,6.0,0.0,1.0,West Indies,Sydney,1979
West Indies,0.0, 2 run,6.0,1.0,2.0,England,Sydney,1979
England,1.0,3 wicke,6.0,1.0,2.0,Australia,Melbourne,1979
Australia,0.0,3 wicke,6.0,1.0,2.0,England,Melbourne,1979
West Indies,1.0, 80 run,19.0,1.0,2.0,Australia,Melbourne,1979
Australia,0.0,80 run,19.0,1.0,2.0,West Indies,Melbourne,1979
England,1.0,72 run,19.0,1.0,1.0,Australia,Sydney,1979
Australia,0.0,72 run,19.0,0.0,2.0,England,Sydney,1979
Australia,1.0,7 run,19.0,0.0,1.0,West Indies,Sydney,1979
West Indies,0.0, 7 run,19.0,0.0,1.0,Australia,Sydney,1979
West Indies,1.0, 9 wicke,19.0,0.0,1.0,England,Brisbane,1979
England,0.0,9 wicke,19.0,0.0,1.0,West Indies,Brisbane,1979
England,1.0,4 wicke,11.0,1.0,2.0,Australia,Sydney,1979
Australia,0.0,4 wicke,11.0,1.0,2.0,England,Sydney,1979
England,1.0,2 wicke,7.0,1.0,2.0,West Indies,Melbourne,1980
West Indies,1.0,2 wicke,7.0,1.0,2.0,England,Melbourne,1980
England,1.0,2 wicke,7.0,1.0,2.0,Australia,Sydney,1980
Australia,0.0,2 wicke,7.0,1.0,2.0,England,Sydney,1980
West Indies,1.0, 107 run,15.0,1.0,2.0,England,Adelaide,1980
England,0.0,107 run,15.0,1.0,2.0,West Indies,Adelaide,1980
Australia,1.0,9 run,15.0,1.0,1.0,West Indies,Sydney,1980
West Indies,0.0, 9 run,15.0,1.0,2.0,Australia,Sydney,1980
West Indies,1.0, 2 run,15.0,1.0,2.0,England,Melbourne,1980
England,0.0,2 run,15.0,1.0,2.0,West Indies,Melbourne,1980
West Indies,1.0, 8 wicke,15.0,1.0,1.0,England,Sydney,1980
England,0.0,8 wicke,15.0,1.0,1.0,West Indies,Sydney,1980
New Zealand,1.0, 1 wicke,3.0,1.0,2.0,West Indies,Christchurch,1980
West Indies,0.0, 1 wicke,3.0,1.0,2.0,New Zealand,Christchurch,1980
West Indies,1.0, 24 run,3.0,1.0,2.0,England,Leeds,1980
England,0.0,24 run,3.0,1.0,2.0,West Indies,Leeds,1980
England,1.0,3 wicke,3.0,1.0,2.0,West Indies,Lord's,1980
West Indies,0.0, 3 wicke,0.0,0.0,1.0,England,Lord's,1980
England,1.0,47 run,0.0,0.0,1.0,Australia,Birmingham,1980
Australia,0.0,47 run,0.0,1.0,2.0,England,Birmingham,1980
West Indies,1.0, 4 wicke,0.0,0.0,1.0,Pakistan,Karachi,1980
Pakistan,0.0,4 wicke,0.0,0.0,1.0,West Indies,Karachi,1980
New Zealand,1.0, 3 wicke,5.0,0.0,1.0,Australia,Adelaide,1980
Australia,0.0,3 wicke,5.0,0.0,1.0,New Zealand,Adelaide,1980
Australia,1.0,94 run,27.0,1.0,1.0,New Zealand,Sydney,1980
New Zealand,0.0, 94 run,27.0,0.0,1.0,Australia,Sydney,1980
West Indies,1.0, 7 wicke,27.0,0.0,1.0,Pakistan,Sialkot,1980
Pakistan,0.0,7 wicke,27.0,0.0,1.0,West Indies,Sialkot,1980
India,1.0,66 run,16.0,0.0,1.0,Australia,Melbourne,1980
Australia,0.0,66 run,16.0,1.0,2.0,India,Melbourne,1980
Australia,1.0,4 wicke,16.0,0.0,2.0,New Zealand,Melbourne,1980
New Zealand,0.0, 4 wicke,40.0,1.0,1.0,Australia,Melbourne,1980
India,1.0,5 run,40.0,1.0,1.0,New Zealand,Perth,1980
New Zealand,0.0, 5 run,40.0,1.0,2.0,India,Perth,1980
